num_repos,date
8400,2016-01-01
9983,2016-01-02
10866,2016-01-03
17344,2016-01-04
18375,2016-01-05
18258,2016-01-06
18811,2016-01-07
17358,2016-01-08
12662,2016-01-09
13278,2016-01-10
19444,2016-01-11
20354,2016-01-12
19832,2016-01-13
19575,2016-01-14
17651,2016-01-15
13167,2016-01-16
13495,2016-01-17
19596,2016-01-18
21136,2016-01-19
20937,2016-01-20
20811,2016-01-21
18925,2016-01-22
14733,2016-01-23
14934,2016-01-24
21086,2016-01-25
22086,2016-01-26
22563,2016-01-27
22048,2016-01-28
21841,2016-01-29
16732,2016-01-30
16144,2016-01-31
22498,2016-02-01
22891,2016-02-02
22585,2016-02-03
21631,2016-02-04
19541,2016-02-05
14817,2016-02-06
14389,2016-02-07
19000,2016-02-08
24794,2016-02-09
22623,2016-02-10
24140,2016-02-11
20554,2016-02-12
14864,2016-02-13
15488,2016-02-14
22089,2016-02-15
26100,2016-02-16
24879,2016-02-17
23648,2016-02-18
21985,2016-02-19
16858,2016-02-20
16736,2016-02-21
23784,2016-02-22
25770,2016-02-23
23950,2016-02-24
24332,2016-02-25
21645,2016-02-26
17670,2016-02-27
19617,2016-02-28
24565,2016-02-29
24650,2016-03-01
25100,2016-03-02
25269,2016-03-03
23152,2016-03-04
18134,2016-03-05
17211,2016-03-06
24207,2016-03-07
24317,2016-03-08
24049,2016-03-09
24154,2016-03-10
21879,2016-03-11
16937,2016-03-12
17403,2016-03-13
24868,2016-03-14
25000,2016-03-15
25444,2016-03-16
25143,2016-03-17
23029,2016-03-18
17097,2016-03-19
17489,2016-03-20
24691,2016-03-21
24843,2016-03-22
24022,2016-03-23
22722,2016-03-24
20123,2016-03-25
15555,2016-03-26
14850,2016-03-27
23160,2016-03-28
25224,2016-03-29
25238,2016-03-30
24225,2016-03-31
22766,2016-04-01
16894,2016-04-02
17100,2016-04-03
22906,2016-04-04
25631,2016-04-05
25117,2016-04-06
24904,2016-04-07
23162,2016-04-08
17290,2016-04-09
17615,2016-04-10
25639,2016-04-11
26138,2016-04-12
25266,2016-04-13
24449,2016-04-14
22610,2016-04-15
17434,2016-04-16
17610,2016-04-17
